"","as.numeric.nodes.StartId."
"455",6240501
"456",6242900
"457",6272401
"458",2702000
"459",6244500
"460",6274100
"461",216823000
"462",6242600
"463",28586402
"464",6259802
"465",216823300
"466",6294300
"467",6276404
"468",6253103
"469",6268500
"470",6262600
"471",6273800
"472",173938000
"473",6256700
"474",6266400
"475",6237700
"476",280639000
"477",6271901
"478",6276403
"479",6255902
"480",6252201
"481",6265800
"482",6242400
"483",6268000
"484",6249603
"485",6247000
"486",6259200
"487",6271200
"488",6269301
"489",6269302
"490",6247800
"491",6264603
"492",6256900
"493",180029701
"494",6238800
"495",6238700
"496",6238100
"497",6257200
"498",6257400
"499",6268600
"500",17267901
"501",6234600
"502",6241400
"503",2702700
"504",6238801
"505",6266900
"506",6274204
"507",6260000
"508",6243701
"509",214517800
"510",6265900
"511",6243704
"512",6274201
"513",6252800
