"AGS5","krs_WZ_gesamt","krs_homeoffice_WZ","krsanteil_homeoffice_WZ","krs_KldB_gesamt","krs_homeoffice_KldB","krsanteil_homeoffice_KldB"
12062,33265,17091.140625,0.513787483090335,32445,15523.724609375,0.478462771131916
12063,45384,23114.62890625,0.509312288609422,45315,21888.771484375,0.483035892847291
12064,51856,26595.783203125,0.5128776458486,51555,25545.46875,0.495499345359325
12065,59820,31361.677734375,0.52426743119985,59147,29614.275390625,0.500689390681269
12066,40240,20928.232421875,0.520085298754349,39888,19787.67578125,0.496080921110359
12067,56111,28178.9453125,0.502200019826772,55025,26685.54296875,0.484971248864153
12068,35773,18632.669921875,0.520858466493585,35629,17342.4140625,0.486749952636897
12069,61584,32154.40625,0.522122730741751,61346,31367.802734375,0.511325966393489
12070,27297,13815.126953125,0.506104222190167,26619,12879.1005859375,0.483831120099835
12071,36760,18501.87109375,0.503315318110718,36760,17018.41015625,0.462960015131937
12072,64408,33195.95703125,0.515401146305583,64380,32295.0234375,0.501631305335508
12073,39330,20393.677734375,0.518527275219298,39247,19374.580078125,0.493657606393482
13003,93923,52119.28125,0.554914996859129,93128,52914.953125,0.568195957445666
13004,50711,28972.88671875,0.57133337379957,50063,29547.181640625,0.590199980836646
